category,dayofweek,binofday,count,max,mean,min,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99,stdev
ART,1.0,37.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,38.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,39.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,40.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,41.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,43.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,44.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,45.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,46.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,1.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,11.0,13.0,4.0,1.5384615384615385,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6000000000000014,3.0,3.0,3.3999999999999986,3.6999999999999993,3.879999999999999,1.3301243435223524
ART,2.0,12.0,13.0,4.0,1.7692307692307692,0.0,1.0,1.6000000000000005,2.0,2.0,2.3999999999999986,3.0,3.0,3.1999999999999993,3.8000000000000007,4.0,4.0,4.0,1.3634420996046583
ART,2.0,13.0,13.0,6.0,3.3846153846153846,1.0,4.0,4.0,4.0,4.0,4.399999999999999,5.0,5.0,5.0,5.0,5.399999999999999,5.699999999999999,5.879999999999999,1.6602440351979149
ART,2.0,14.0,13.0,3.0,1.7692307692307692,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.3999999999999986,2.6999999999999993,2.879999999999999,0.599144689515278
ART,2.0,15.0,13.0,4.0,1.5384615384615385,0.0,1.0,1.0,1.3999999999999986,2.6000000000000014,3.0,3.0,3.0,3.0,3.0,3.3999999999999986,3.6999999999999993,3.879999999999999,1.4500221041639685
ART,2.0,16.0,13.0,4.0,1.6923076923076923,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6000000000000014,3.0,3.0,3.3999999999999986,3.6999999999999993,3.879999999999999,1.1821319289469756
ART,2.0,17.0,13.0,3.0,1.6923076923076923,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.3999999999999986,2.6999999999999993,2.879999999999999,0.630425171956115
ART,2.0,18.0,13.0,5.0,2.1538461538461537,0.0,2.0,2.0,2.0,2.0,2.3999999999999986,3.0,3.6000000000000014,4.0,4.0,4.399999999999999,4.699999999999999,4.879999999999999,1.5191090506255
ART,2.0,19.0,13.0,4.0,1.8461538461538463,0.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.0,3.0,3.0,3.3999999999999986,3.6999999999999993,3.879999999999999,1.281025230440697
ART,2.0,20.0,13.0,2.0,1.1538461538461537,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6000000000000014,2.0,2.0,2.0,2.0,2.0,0.5547001962252291
ART,2.0,21.0,13.0,4.0,1.4615384615384615,1.0,1.0,1.0,1.0,1.0,1.3999999999999986,2.0,2.0,2.0,2.0,2.799999999999997,3.3999999999999986,3.759999999999998,0.8770580193070292
ART,2.0,22.0,13.0,6.0,1.6923076923076923,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.3999999999999986,3.6000000000000014,4.799999999999997,5.399999999999999,5.759999999999998,1.7504578155735613
ART,2.0,23.0,13.0,5.0,2.1538461538461537,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.6000000000000014,3.1999999999999993,3.8000000000000007,4.399999999999999,4.699999999999999,4.879999999999999,1.281025230440697
ART,2.0,24.0,13.0,3.0,0.7692307692307693,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7999999999999972,2.3999999999999986,2.759999999999998,0.8320502943378436
ART,2.0,25.0,13.0,3.0,1.3076923076923077,0.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.0,1.031553471276484
ART,2.0,26.0,13.0,3.0,0.6923076923076923,0.0,0.0,0.6000000000000005,1.0,1.0,1.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.3999999999999986,2.6999999999999993,2.879999999999999,0.9473309334313419
ART,2.0,27.0,13.0,2.0,0.8461538461538461,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.0,2.0,2.0,0.6887372317211944
ART,2.0,28.0,13.0,2.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,1.0,1.0,1.0,1.0,1.3999999999999986,1.6999999999999993,1.879999999999999,0.6504436355879909
ART,2.0,29.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
ART,2.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,31.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
ART,2.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,35.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,36.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,37.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,38.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,39.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,40.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,41.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,43.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,44.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,45.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,46.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,2.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
