category,dayofweek,binofday,count,max,mean,min,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99,stdev
IVT,2.0,0.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,2.0,1.0,13.0,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.8000000000000007,1.0,1.0,1.0,0.3755338080994054
IVT,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,2.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,2.0,4.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,2.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,2.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,2.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,2.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,2.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,2.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,2.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVT,2.0,12.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,2.0,13.0,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.6999999999999993,0.879999999999999,0.2773500981126146
IVT,2.0,14.0,13.0,3.0,1.9230769230769231,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1999999999999993,2.8000000000000007,3.0,3.0,3.0,0.6405126152203483
IVT,2.0,15.0,13.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.3999999999999986,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.816496580927726
IVT,2.0,16.0,13.0,7.0,3.923076923076923,1.0,4.0,4.0,4.199999999999999,4.800000000000001,5.0,5.0,5.600000000000001,6.0,6.0,6.399999999999999,6.699999999999999,6.879999999999999,1.800996874952798
IVT,2.0,17.0,13.0,8.0,3.3846153846153846,1.0,3.0,3.0,3.1999999999999993,3.8000000000000007,4.0,4.0,4.600000000000001,5.0,5.0,6.199999999999996,7.099999999999998,7.639999999999997,1.850155918585491
IVT,2.0,18.0,13.0,8.0,4.538461538461538,2.0,4.0,4.6000000000000005,5.0,5.0,5.0,5.0,5.600000000000001,6.0,6.0,6.799999999999997,7.399999999999999,7.759999999999998,1.6132464481796023
IVT,2.0,19.0,13.0,10.0,6.923076923076923,2.0,7.0,7.6000000000000005,8.0,8.0,8.399999999999999,9.0,9.600000000000001,10.0,10.0,10.0,10.0,10.0,2.5318484177091665
