PatType,TheDateTime,Arrivals,Exits,Occupancy,DayType,TheWeekDay,TheTime,TheDate,UsedIt,deltaArr,deltaExit,deltaOcc
ART,35073.625,1,2,2.366666667,Weekday,3,0.625,35073,-1,0,0,-9.76996E-15
ART,35073.66667,0,2,0.5,Weekday,3,0.666666667,35073,-1,0,0,0
ART,35073.70833,0,0,0,Weekday,3,0.708333333,35073,-1,0,0,0
ART,35073.75,0,0,0,Weekday,3,0.75,35073,-1,0,0,0
ART,35073.79167,0,0,0,Weekday,3,0.791666667,35073,-1,0,0,0
ART,35073.83333,0,0,0,Weekday,3,0.833333333,35073,-1,0,0,0
ART,35073.875,0,0,0,Weekday,3,0.875,35073,-1,0,0,0
ART,35073.91667,0,0,0,Weekday,3,0.916666667,35073,-1,0,0,0
ART,35073.95833,0,0,0,Weekday,3,0.958333333,35073,-1,0,0,0
ART,35074,0,0,0,Weekday,4,0,35074,-1,0,0,0
ART,35074.04167,0,0,0,Weekday,4,0.041666667,35074,-1,0,0,0
ART,35074.08333,0,0,0,Weekday,4,0.083333333,35074,-1,0,0,0
ART,35074.125,0,0,0,Weekday,4,0.125,35074,-1,0,0,0
ART,35074.16667,0,0,0,Weekday,4,0.166666667,35074,-1,0,0,0
ART,35074.20833,3,0,0.8,Weekday,4,0.208333333,35074,-1,0,0,-1.09912E-14
ART,35074.25,3,0,4.833333333,Weekday,4,0.25,35074,-1,0,0,-9.76996E-15
ART,35074.29167,5,4,6.216666667,Weekday,4,0.291666667,35074,-1,0,1,-1
ART,35074.33333,2,5,4.95,Weekday,4,0.333333333,35074,-1,0,-1,-1.95399E-14
ART,35074.375,3,2,3.7,Weekday,4,0.375,35074,-1,0,1,-1
ART,35074.41667,3,3,4.916666667,Weekday,4,0.416666667,35074,-1,0,-1,0
ART,35074.45833,3,3,4.916666667,Weekday,4,0.458333333,35074,-1,1,1,0
ART,35074.5,3,4,3.833333333,Weekday,4,0.5,35074,-1,-1,-1,1.9984E-14
ART,35074.54167,0,3,2.083333333,Weekday,4,0.541666667,35074,-1,0,0,1.9984E-14
